Datetime,PJME_MW,year,month,hour,day_num,day_of_month,week_of_year,is_weekend,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24
2012-06-10 22:00:00,0.5212050984936268,2012,6,22,6,10,23,1,0.5372801011271463,0.4203729063520488,0.3167597176867165,0.41245878092694865,0.6138667504430425
2012-06-10 23:00:00,0.4582955862214263,2012,6,23,6,10,23,1,0.5212050984936268,0.37819445907510796,0.27392815758980305,0.418510145455281,0.6252571725657934
2012-06-11 00:00:00,0.38335615716843985,2012,6,0,0,11,24,0,0.4582955862214263,0.324281049194143,0.22663014853049612,0.42331735145961014,0.6280629627618919
2012-06-11 01:00:00,0.32238491520067414,2012,6,1,0,11,24,0,0.38335615716843985,0.27466554303170754,0.18828610555145897,0.4268626974975217,0.6247009723891606
2012-06-11 02:00:00,0.2822290108501001,2012,6,2,0,11,24,0,0.32238491520067414,0.23788054355841148,0.16557463394079847,0.4297265380024681,0.6181943920310106
2012-06-11 03:00:00,0.2560412935847467,2012,6,3,0,11,24,0,0.2822290108501001,0.21285157484462236,0.15341830822711472,0.4323880763083895,0.6095993171857719
2012-06-11 04:00:00,0.2433582639839882,2012,6,4,0,11,24,0,0.2560412935847467,0.19606025492468138,0.1492257452860002,0.43498007323339605,0.5994567410873283
2012-06-11 05:00:00,0.24769830401348358,2012,6,5,0,11,24,0,0.2433582639839882,0.18592647213736435,0.16022332244811965,0.4378186259634641,0.5870547292548606
2012-06-11 06:00:00,0.27407563467818397,2012,6,6,0,11,24,0,0.24769830401348358,0.18057516064468554,0.19172021489518593,0.44152581376059563,0.570058348230204
2012-06-11 07:00:00,0.3288739070894343,2012,6,7,0,11,24,0,0.27407563467818397,0.18426208785420833,0.24797219003476245,0.44713717100604866,0.5445641773671812
2012-06-11 08:00:00,0.3962288001685452,2012,6,8,0,11,24,0,0.3288739070894343,0.22323817549773517,0.3039081428420941,0.45581593534421716,0.5088270972195027
2012-06-11 09:00:00,0.4432950595175392,2012,6,9,0,11,24,0,0.3962288001685452,0.28012219530180127,0.33317181080796376,0.46619783132042636,0.4771153829684711
2012-06-11 10:00:00,0.4858738017486569,2012,6,10,0,11,24,0,0.4432950595175392,0.34130411882439693,0.3526809227852101,0.4759905221419757,0.45861608536222853
2012-06-11 11:00:00,0.5287896344675024,2012,6,11,0,11,24,0,0.4858738017486569,0.40014747708838094,0.36814494890972294,0.4846667577026561,0.4534646576601007
2012-06-11 12:00:00,0.5637627725692615,2012,6,12,0,11,24,0,0.5287896344675024,0.448709575476667,0.3743811229326872,0.4923871153729439,0.4591073172735217
2012-06-11 13:00:00,0.59167807858422,2012,6,13,0,11,24,0,0.5637627725692615,0.48781207205309174,0.37305382913725904,0.4992919423034129,0.4713925872184801
2012-06-11 14:00:00,0.6140945960181186,2012,6,14,0,11,24,0,0.59167807858422,0.5188243969240492,0.37296955651532704,0.5055253788108677,0.48731834728850676
2012-06-11 15:00:00,0.6236174022964289,2012,6,15,0,11,24,0,0.6140945960181186,0.5462551353628989,0.3704624460128516,0.5112429447108088,0.5050782166314218
2012-06-11 16:00:00,0.6244179922047824,2012,6,16,0,11,24,0,0.6236174022964289,0.5700410829031918,0.3690719477509744,0.5158857801784303,0.5209724771078266
2012-06-11 17:00:00,0.6142842094174654,2012,6,17,0,11,24,0,0.6244179922047824,0.5899926261455809,0.3704835141683346,0.5191491675264509,0.5327267061720129
2012-06-11 18:00:00,0.5986516380490887,2012,6,18,0,11,24,0,0.6142842094174654,0.5995575687348572,0.3679131991994101,0.520607007748174,0.5380339896742637
2012-06-11 19:00:00,0.5620141156641736,2012,6,19,0,11,24,0,0.5986516380490887,0.5852522911619087,0.3558200779521753,0.5205526390321863,0.5378417418490304
2012-06-11 20:00:00,0.52933740651006,2012,6,20,0,11,24,0,0.5620141156641736,0.5576319393237121,0.3458127040977562,0.5191580182476582,0.5337942586870217
2012-06-11 21:00:00,0.5199199410091646,2012,6,21,0,11,24,0,0.52933740651006,0.5372801011271463,0.3503423575265985,0.517459944164593,0.5301202697216139
2012-06-11 22:00:00,0.4952280627831033,2012,6,22,0,11,24,0,0.5199199410091646,0.5212050984936268,0.3354261034446434,0.5164180878396148,0.5282353882391271
2012-06-11 23:00:00,0.4291372590329716,2012,6,23,0,11,24,0,0.4952280627831033,0.4582955862214263,0.2819761929843042,0.5148590965183791,0.5262012754141345
2012-06-12 00:00:00,0.36003370904877274,2012,6,0,1,12,24,0,0.4291372590329716,0.38335615716843985,0.22734646581691775,0.5131091824968136,0.5268195962024737
2012-06-12 01:00:00,0.3046455282839987,2012,6,1,1,12,24,0,0.36003370904877274,0.32238491520067414,0.18837037817339092,0.51170950415731,0.5299060812343354
2012-06-12 02:00:00,0.27131570630991253,2012,6,2,1,12,24,0,0.3046455282839987,0.2822290108501001,0.16458443063309808,0.5106448888349416,0.5338271618756254
2012-06-12 03:00:00,0.24934162014115668,2012,6,3,1,12,24,0,0.27131570630991253,0.2560412935847467,0.15173285578847573,0.5099899354655985,0.5368389114988846
